"site","min","max","temp_diff","ore","azimuth","entrance_height","entrance_width","levels","shafts","1980","1981","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","NA"
"Keel Ridge Shaft",0,10.7777777777778,10.7777777777778,"iron","NA","7","7","1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,784,NA,593,54,NA,112,NA,NA,NA,150,370,NA
"Knowlton Mine",7.22222222222222,7.77777777777778,0.555555555555556,"Copper",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kochab Cave",Inf,-Inf,-Inf,"Limestone",NA,NA,NA,"0",0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lafayette East Adit",4,11.5,7.5,"Copper","360","6","4","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
"Lafayette East Shaft",5.5,9,3.5,"Copper","330","2","5","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2259,NA,NA,NA,NA,NA,2804,NA,NA,NA,2582,NA,442,NA,NA,NA,NA,NA,1103,NA
"Lafayette West Adit",6.5,9.5,3,"Copper","315","2.5","4","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,4,NA,NA,NA,18,NA,6,NA,NA,NA,NA,NA,NA,NA
"Lafayette West Shaft",7.38888888888889,10,2.61111111111111,"Copper","345","2","5","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,52,NA,NA,NA,55,NA,10,NA,NA,NA,NA,NA,NA,NA
"Lake Shaft",Inf,-Inf,-Inf,"Copper","NA",NA,NA,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mackinac Bridge, North Pier",Inf,-Inf,-Inf,"NA",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mackinac Bridge, South Pier",Inf,-Inf,-Inf,"NA",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mass  C Adit",2.77777777777778,5.5,2.72222222222222,"Copper","50","5","7","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,NA,NA,NA,NA,NA,109,113,NA,160,NA,NA,NA,NA,NA,11,9,8,NA,NA
"Mass Mine (C Shaft)",6.77777777777778,7.77777777777778,0.999999999999999,"Copper",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mastodon #2 Shaft",Inf,-Inf,-Inf,"Iron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mead Adit of Carp Lake Mine",4.4,10,5.6,"Copper","180","2","2","1",0,NA,NA,NA,NA,NA,13539,NA,14046,NA,NA,16735,NA,13342,NA,NA,NA,17508,NA,19263,NA,17700,NA,15971,NA,92,NA,208,312,NA,513,546,992,NA
"Merchant Mine",3,7.5,4.5,"Copper","170","2","2","2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,NA,217,NA,214,NA,NA,NA,48,NA,12,NA,NA,38,33,NA,NA
"Merchant's Adit North",5.5,8,2.5,"Copper","270","2.25","1.5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Merchant's Adit South",-0.499999999999999,6,6.5,"Copper","270","5","7","1",0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Merriweather Shaft 1",Inf,-Inf,-Inf,"Copper",NA,NA,NA,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merriweather Shaft 2",Inf,-Inf,-Inf,"Copper",NA,"6","10","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merriweather Shaft 3",0.555555555555556,0.555555555555556,0,"Copper","350","6","10","1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Michigan (A Shaft)",5,5,0,"Copper","NA","2.5","2.5",">1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Millie Mine",6.11111111111111,9,2.88888888888889,"Iron","NA",NA,NA,"3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2765,NA,NA,NA,NA,NA
"Nassau Mine",8.38888888888889,8.38888888888889,0,"Copper","270",NA,NA,"1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"National Mine #3",-4.5,-4.5,0,"Copper","330","15","20","1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"National Mine #7",2.77777777777778,8.88888888888889,6.11111111111111,"Copper","360","10","20","1",0,NA,NA,NA,NA,NA,NA,NA,NA,969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,NA,NA,NA,NA,NA
"Nebraska Mine",-1.66666666666667,4.05555555555555,5.72222222222222,"Copper",NA,"7","12","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Algoma",Inf,-Inf,-Inf,"Copper","NA","NA","NA","0",0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Indiana Shaft",Inf,-Inf,-Inf,NA,"NA","17","17","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North American Adit",0.499999999999999,3.27777777777778,2.77777777777778,"Copper","325","3","6","1",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA
"North Belt Mine",0.388888888888891,7.16666666666667,6.77777777777778,"Copper","37","3","5","2",2,NA,NA,NA,NA,NA,NA,NA,588,NA,NA,NA,1118,NA,NA,NA,NA,1054,NA,1120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Cliff Mine (Shaft #3?)",4.7,8.88888888888889,4.18888888888889,"Copper","NA","3.5","2.5","2",1,NA,NA,NA,NA,NA,NA,2958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,26,NA
"North Lake Mine",Inf,-Inf,-Inf,"Copper","NA","10","20","1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Norway Mine",-6.66666666666667,7.5,14.1666666666667,"Iron",NA,"6","20","2",0,NA,NA,NA,NA,NA,23855,NA,18781,NA,NA,NA,NA,16676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8459,NA,NA,4909,NA,NA,NA,9535,NA
"Norwich D (MacDonald Shaft)",Inf,-Inf,-Inf,"Copper","999","8","10","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ogimaw Adit",-1.11111111111111,5.5,6.61111111111111,"Copper","345","5","7","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,23,21,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA
"Ogimaw Mine",5.22222222222222,7.16666666666667,1.94444444444444,"Copper",NA,NA,NA,"1",0,NA,NA,NA,NA,NA,NA,NA,NA,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ohio Traprock #61",3,7,4,"Copper",NA,"6","5","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA
"Ohio Traprock Mine #1",4,6.5,2.5,"Copper","355","4","6","1",0,NA,NA,NA,NA,NA,NA,NA,NA,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA
"Ohio Traprock Mine #2",8,9.22222222222222,1.22222222222222,"Copper","340","2","2","1",0,NA,NA,NA,NA,NA,NA,NA,NA,654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,NA,NA,49,NA,NA,NA,NA,NA,NA,NA
"Ohio Traprock Mine #3",0,5,5,"Copper","34","8","12","1",1,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
"Ohio Traprock Mine #59 (Norwich Adit)",1.11111111111111,7.5,6.38888888888889,"Copper","302","8","4","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,6,NA,NA,1,0,0,NA,0,NA,NA,NA,NA,NA
"Ohio Traprock Mine #60 (Norwich Adit)",5,8.77777777777778,3.77777777777778,"Copper","302","6","4.5","1",0,NA,NA,NA,NA,NA,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247,NA,305,NA,270,NA,299,188,74,50,NA,37,NA,NA,NA,NA,NA
"Old Caledonia Mine (south)",Inf,-Inf,-Inf,"Copper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Old Flintsteel River Adit A",0.499999999999999,0.499999999999999,0,"Copper","30","6","10","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Old Flintsteel River Adit B",2.88888888888889,8,5.11111111111111,"Copper","360","6","4","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,NA,NA,NA,250,NA,264,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA
"Old Penn Mine",-8.66666666666667,-8.66666666666667,0,"Copper",NA,"6","6","1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Owl Creek Fissure (Old Copper Falls)",6.66666666666667,7.77777777777778,1.11111111111111,"Copper",NA,"2","2","5",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pabst Mine H Shaft",Inf,-Inf,-Inf,"Iron",NA,NA,NA,"?",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palms Mine Air Shaft",Inf,-Inf,-Inf,"Iron",NA,NA,NA,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Penninsular Adit",Inf,-Inf,-Inf,"Copper",NA,NA,NA,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Petherick",Inf,-Inf,-Inf,"Copper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pewabic Mine (Hancock)",Inf,-Inf,-Inf,"Copper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pewabic Mine (Iron Mountain)",-6,-0.0555555555555564,5.94444444444444,"Iron",NA,"3","4","?",1,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Piscatauqau Adit",8,8,0,"Copper",NA,"2","2","1",0,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pittsburgh and Boston Shaft A",Inf,-Inf,-Inf,"Copper",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pittsburgh and Boston Shaft B",Inf,-Inf,-Inf,"Copper",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pittsburgh and Boston Shaft C",Inf,-Inf,-Inf,"Copper",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ponchartrain Shores Pit Cave",Inf,-Inf,-Inf,"Limestone",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Port Austin Cave East",Inf,-Inf,-Inf,"Sandstone",NA,"3","12","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Port Austin Cave West",Inf,-Inf,-Inf,"Sandstone",NA,"3.5","40","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quarry Cave",Inf,-Inf,-Inf,"Limestone",NA,NA,NA,"1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quincy Mine Adit",4.44444444444444,9,4.55555555555556,"Copper","340",NA,NA,"7",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3691,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,0
"Quincy Shaft",Inf,-Inf,-Inf,"Copper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quinnesec Adit",8.27777777777778,9.5,1.22222222222222,"Iron","30","2","3.5","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2572,NA,2554,NA,NA,NA,28,NA,36,29,NA,NA,NA,NA,NA
"Randville Quarry Mine",-2.5,1.5,4,"Dolomite",NA,"15","20","1",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA
"Ridge Adit",0.277777777777778,6.5,6.22222222222222,"Copper","60","6","6","1",0,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Rockland Mine, Shaft 3",7,7,0,"Copper","NA","8","12","3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rockport Quarry North Tunnel",2,5.77777777777778,3.77777777777778,"Concrete","145","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,97,98,NA,379,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA
"Rockport Quarry South Tunnel",2,10.5555555555556,8.55555555555555,"Concrete","145","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Scott Falls Cave",-2,-2,0,"Sandstone","70","15","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"Scott's Cave",Inf,-Inf,-Inf,"Limestone",NA,"8.5","17.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seneca Mine #3",8,9.88888888888889,1.88888888888889,"Copper","NA","8","20","2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Silas Doty Cave",1.11111111111111,5,3.88888888888889,"Tufa",NA,"2.5","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Silver Mountain Mine",5.66666666666667,8.5,2.83333333333333,"Copper",NA,"5","5","1",0,NA,NA,NA,NA,NA,NA,1036,NA,NA,NA,NA,1131,NA,NA,NA,NA,NA,1401,1524,NA,1280,NA,1572,1340,247,269,NA,111,NA,NA,NA,NA,NA
"Skull Cave",Inf,-Inf,-Inf,"Limestone",NA,"3.5","13.5","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Belt Mine",-5.55555555555556,3.5,9.05555555555555,"Copper",NA,"6","12","1",2,NA,NA,NA,NA,NA,1290,NA,NA,NA,NA,2028,NA,NA,NA,NA,NA,1461,NA,1285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Bluff Adit",7.66666666666667,8.5,0.833333333333333,"Copper","55","5","6","1",0,NA,NA,NA,NA,NA,NA,NA,NA,234,NA,NA,NA,NA,NA,NA,NA,NA,113,NA,140,NA,NA,NA,98,9,NA,13,NA,NA,NA,NA,NA,NA
"South Bluff East Adit",7.5,8.88888888888889,1.38888888888889,"Copper","57.5","2","5","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2381,NA,NA,2063,NA,1996,NA,NA,NA,1317,115,NA,50,NA,NA,NA,NA,NA,NA
"South Lake Mine",0.8,6.66666666666667,5.86666666666667,"Copper","345",NA,NA,"2",2,NA,NA,NA,NA,NA,1568,NA,NA,NA,NA,NA,1831,NA,NA,NA,NA,1536,NA,2520,NA,2982,NA,2782,NA,1798,NA,NA,1325,1312,1169,1077,882,NA
"Spider Cave",Inf,-Inf,-Inf,"Dolomite",NA,NA,NA,"1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Stair Cave",Inf,-Inf,-Inf,"Limestone",NA,"4","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugarloaf Cave",Inf,-Inf,-Inf,"Limestone",NA,"5.5","3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunday Lake Mine, Shaft #6",Inf,-Inf,-Inf,"Iron",NA,"0.5","4","?",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taylor Adit",7.77777777777778,9.44444444444444,1.66666666666667,"Iron","135","1.5","2","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,229,200,NA,285,NA,NA,NA,NA,NA,20,29,36,NA,144
"The Norwich (Norwich B)",Inf,-Inf,-Inf,"Copper",NA,NA,NA,"?",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tilden Mine",Inf,-Inf,-Inf,"Iron","NA","15","30","1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tippy Dam",0,4.5,4.5,"Concrete","NA",NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17542,NA,24350,20101,NA,21371,NA,27415,23516,24121,NA,NA,NA,NA,NA,NA
"Toltec Mine",6.11111111111111,6.44444444444445,0.333333333333334,"Copper","0","12","8","1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,NA,NA,NA,NA,NA,NA,NA,836,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA
"Tracy MineService Tunnels",5,5,0,"Concrete",NA,NA,NA,"2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trader's Mine",5.5,6,0.5,"Iron","225","5","10","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Union Mine",Inf,-Inf,-Inf,"Copper",NA,NA,NA,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unknown Keweenaw",3.2,4.4,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,NA
"Unknown working",Inf,-Inf,-Inf,"Copper",NA,"15","15","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vivian Adit",-1,4.5,5.5,"Iron","10","5","7","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Vulcan Adit",Inf,-Inf,-Inf,"Iron",NA,NA,NA,"?",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wakefield Water Tunnel",Inf,-Inf,-Inf,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washburn Mine",0.999999999999998,6.5,5.5,"Gold?","120","6","3","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,25,NA,21,NA,NA,NA,NA,NA
