"site","ore","passage_length","azimuth","entrance_height","entrance_width","levels","shafts","external_ta","internal_ta","internal_rh","date","disturbance","total_bats","estimate_or_count","myotis_count","myotis_identified","mylu","myse","epsu","pips","year","month","day"
"Flintsteel Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-18,NA,"18",NA,"7",7,6,1,11,"0",2019,12,18
"Ford Exploratory Adit","Iron","80","90","7","12","1",0,"35","38.799999999999997",NA,2015-04-01,"High","74","c","45",0,NA,NA,29,"0",2015,4,1
"Ford Exploratory Adit",NA,NA,NA,NA,NA,NA,NA,NA,"35.6",NA,2017-02-11,NA,"86","c","8",8,7,1,78,"0",2017,2,11
"Ford Exploratory Adit",NA,NA,NA,NA,NA,NA,NA,"30","34.700000000000003",NA,2018-02-17,NA,"46",NA,"1",1,1,0,45,"0",2018,2,17
"Ford Exploratory Adit",NA,NA,NA,NA,NA,NA,NA,"36","39.200000000000003","84.9",2018-12-14,NA,"48",NA,"0",NA,NA,NA,48,"0",2018,12,14
"Ford Exploratory Adit",NA,NA,NA,NA,NA,NA,NA,"32","39.200000000000003","84.9",2019-12-27,NA,"109",NA,"1",0,NA,NA,107,"1",2019,12,27
"Fort Custer Tunnels","Tunnel","1000",NA,NA,NA,"1",0,NA,NA,NA,2015-03-13,NA,"0","c","0",NA,NA,NA,0,"0",2015,3,13
"Galena Mine","Iron","30","180","6","6","1",0,"27.4","37.4",NA,2006-03-11,"High","1","C","1",1,1,0,0,"0",2006,3,11
"Glen Adit #1","Copper","155","265","5","6","1",0,"26.2","36.5-40.1","81-90",1998-03-11,"Low","560","C","551",29,25,4,9,"0",1998,3,11
"Glen Adit #1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-01,NA,"626","C","617",0,NA,NA,9,"0",2010,3,1
"Glen Adit #1",NA,NA,NA,NA,NA,NA,NA,"28.4","41.9","92.9",2012-02-24,NA,"602","C","590",68,53,15,12,"0",2012,2,24
"Glen Adit #1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-11-30,NA,"280","c","280",NA,NA,NA,0,"0",2012,11,30
"Glen Adit #1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-11-28,NA,"322","c","306",304,266,38,16,"0",2014,11,28
"Glen Adit #1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-13,NA,"4",NA,"1",1,1,0,3,"0",2020,11,13
"Glen Adit #1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-04,NA,"61",NA,"44",44,44,0,17,"0",2021,3,4
"Glen Adit #1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-11-10,NA,"1",NA,"1",1,1,0,0,"0",2021,11,10
"Glen Adit #1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-06,NA,"34",NA,"22",22,22,0,12,"0",2022,3,6
"Glen Adit #1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-11,NA,"1",NA,"1",1,1,0,0,"0",2022,11,11
"Glen Adit #1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-01,NA,"59",NA,"47",47,47,0,12,"0",2023,3,1
"Glen Adit #2","Copper","46","260","4","6","1",0,"26.2","30.2","88",1998-03-11,"Low","4","C","2",2,1,1,2,"0",1998,3,11
"Glen Adit #2",NA,NA,NA,NA,NA,NA,NA,"28.4","35.6","83.6",2012-02-24,NA,"1","C","1",1,0,1,0,"0",2012,2,24
"Glen Adit #2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-11-30,NA,"7","c","6",6,1,5,1,"0",2012,11,30
"Glen Adit #3","Copper","79","345","5","10","1",0,"26.2","32","88-100",1998-03-11,"Low","0","C","0",0,NA,NA,0,"0",1998,3,11
"Glen Adit #3",NA,NA,NA,NA,NA,NA,NA,"28.4","34.7-35.6","100",2012-02-24,NA,"6","C","1",1,0,1,5,"0",2012,2,24
"Glen Adit #3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-11-30,NA,"4","c","2",2,0,2,2,"0",2012,11,30
"Goodrich Adit A","Iron","200","310","3","4","1",0,"41","42.8","91",2011-04-01,"Low","1","C","1",0,NA,NA,NA,NA,2011,4,1
"Goodrich Adit B","Iron","102","285","6","7","1",0,"41","41","83",2011-04-01,"Low","17","C","15",15,2,13,2,"0",2011,4,1
"Goodrich Mine Tunnel","Iron","276","280","10","15","1",0,"41","33.9","65",2011-04-01,"Low","0","C",NA,NA,NA,NA,NA,NA,2011,4,1
"Hammel Creek Railroad Tunnel","Tunnel","150","270","8","10","1",0,"22.1","28.4",NA,2015-12-27,"Low","0","c","0",0,0,0,0,"0",2015,12,27
"Hancock Mine (Dupee Shaft)","Copper","640",NA,NA,NA,NA,1,NA,"49-50","92-96",1996-02-09,"Low","0",NA,NA,NA,NA,NA,NA,NA,1996,2,9
"Hendrie River Water Cave","Limestone","2049",NA,NA,NA,"1",0,"32",NA,NA,2009-03-29,"Medium","46",NA,"46",0,NA,NA,0,"0",2009,3,29
"Hendrie River Water Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-20,NA,"135","C","135",135,115,20,0,"0",2010,3,20
"Hendrie River Water Cave",NA,NA,NA,NA,NA,NA,NA,"33","39.200000000000003","89",2011-02-13,NA,"68","C","68",0,NA,NA,0,"0",2011,2,13
"Hendrie River Water Cave",NA,NA,NA,NA,NA,NA,NA,"23","36.5-42.8","100",2012-02-19,NA,"102","C","102",98,91,7,0,"0",2012,2,19
"Hendrie River Water Cave",NA,NA,NA,NA,NA,NA,NA,NA,"40.1","100",2013-02-24,NA,"97","c","97",0,NA,NA,0,"0",2013,2,24
"Hendrie River Water Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-23,NA,"39","C","39",0,NA,NA,0,"0",2014,3,23
"Hendrie River Water Cave",NA,NA,NA,NA,NA,NA,NA,"4","39.200000000000003",NA,2016-02-14,NA,"1","c","1",1,1,0,0,"0",2016,2,14
"Hendrie River Water Cave",NA,NA,NA,NA,NA,NA,NA,NA,"41",NA,2017-02-21,NA,"1","c","1",1,1,0,0,"0",2017,2,21
"Hendrie River Water Cave",NA,NA,NA,NA,NA,NA,NA,"27","41",NA,2019-03-01,NA,"1",NA,"1",1,1,0,0,"0",2019,3,1
"Hendrie River Water Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-18,NA,"0",NA,NA,NA,NA,NA,NA,NA,2020,3,18
"Henwood Mine (Douglas Houghton)","Copper","254","226","3","5","1",1,"16.7","25-32.5","66-88",1996-12-29,"Medium","1","C","0",0,NA,NA,1,"0",1996,12,29
"Henwood Mine (Douglas Houghton)",NA,NA,NA,NA,NA,NA,NA,NA,"1.2-3.3",NA,2024-04-11,NA,"0",NA,NA,NA,NA,NA,NA,NA,2024,4,11
"Hilton (Shaft 1)","Copper","97",NA,"5","10","1",1,NA,"37.9",NA,1998-12-16,"Low","0","C","0",0,NA,NA,0,"0",1998,12,16
"Hilton (Shaft 1)",NA,NA,NA,NA,NA,"1",1,"29","34.700000000000003","100",2011-12-22,"High","6","C","5",4,0,4,0,"1",2011,12,22
"Hilton (Shaft 1)",NA,NA,NA,NA,NA,NA,NA,"47","40.1","78",2018-12-15,NA,"0",NA,"0",0,0,0,0,"0",2018,12,15
"Hilton Ohio (Hilton #5 Adit)","Copper","32","255","6","6","1",0,"21.5","23.9",NA,1998-03-10,"Medium","0","C","0",0,NA,NA,0,"0",1998,3,10
"Hilton Ohio (Hilton #5 Adit)",NA,NA,NA,NA,NA,NA,NA,NA,"24.8",NA,2001-01-20,NA,"0","C","0",0,NA,NA,NA,NA,2001,1,20
"Hilton Ohio (Hilton #5 Adit)",NA,NA,NA,NA,NA,"1",0,"28","32.9","100",2011-12-22,NA,"0","C","0",0,NA,NA,0,"0",2011,12,22
"Hole-in-the-Wall Adit","Copper","10","50",NA,NA,"1",0,NA,NA,NA,1999-01-16,"Low","0","C","0",0,NA,NA,0,"0",1999,1,16
"Indiana Mine","Copper","125","233","7","12","1",1,NA,"39.299999999999997",NA,2000-04-13,"High","0","C","0",0,NA,NA,0,"0",2000,4,13
"Indiana Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-04-02,NA,"5","C","4",0,NA,NA,1,"0",2005,4,2
"Indiana Mine",NA,NA,NA,NA,NA,NA,NA,NA,"3.5-4.8",NA,2024-04-18,NA,"37","c","37",31,31,0,0,"0",2024,4,18
"Iron Mountain Iron Mine (Tourist Mine)","Iron","3500",NA,NA,NA,"2",2,"38.200000000000003","34.5-47.5",NA,1995-03-20,"Low",NA,NA,NA,NA,NA,NA,NA,NA,1995,3,20
"Iron Mountain Iron Mine (Tourist Mine)",NA,NA,NA,NA,NA,NA,NA,NA,"<49.2",NA,2009-01-24,NA,"18738","C","18713",0,NA,NA,20,"5",2009,1,24
"Iron Mountain Iron Mine (Tourist Mine)",NA,NA,NA,NA,NA,NA,NA,NA,"42.1-49.1",NA,2013-03-16,NA,"23891","C","23888",811,811,0,1,"2",2013,3,16
"Iron Mountain Iron Mine (Tourist Mine)",NA,NA,NA,NA,NA,NA,NA,NA,"43.7-49.6",NA,2017-02-20,NA,"1118","c","1103",710,710,0,13,"0",2017,2,20
"Iron Mountain Iron Mine (Tourist Mine)",NA,NA,NA,NA,NA,NA,NA,"37","48.7-50","93.8-93.9",2019-12-29,NA,"525",NA,"510",470,470,0,14,"1",2019,12,29
"Iron Mountain Iron Mine (Tourist Mine)",NA,NA,NA,NA,NA,NA,NA,NA,"5.1-8.9",NA,2024-03-12,NA,"1087","c","770",737,737,0,13,NA,2024,3,12
"Isabella Mine","Iron","50+",NA,NA,NA,"?",0,"?","?","?",2005-03-03,"Medium","0",NA,NA,NA,NA,NA,NA,NA,2005,3,3
"Jackson Mine, Pit 1, Adit 1","Iron","80","240","8","10","1",0,NA,"34","73",2011-02-28,"High","2","C","2",2,2,0,0,"0",2011,2,28
"Jackson Mine, Pit 4, Tunnel, Adit 2","Iron","105","240",NA,NA,"1",0,NA,"26.6",NA,2011-02-28,"High","0","C","0",0,NA,NA,0,"0",2011,2,28
"Jackson Mine, Pit 4, Adit 3","Iron","40","240","8","8","1",0,NA,"29.3",NA,2011-02-28,"High","0","C","0",0,NA,NA,0,"0",2011,2,28
"Jackson Mine, Pit 4, Adit 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jackson Mine, A Working","Iron","209","90","20","75","1",0,"23","27.5","79.7",2012-03-05,"High","0","C","0",0,0,0,0,"0",2012,3,5
"Jackson Mine, A Working",NA,NA,NA,NA,NA,NA,NA,"7","23.8",NA,2018-03-14,NA,"0",NA,NA,NA,0,0,0,NA,2018,3,14
"Jackson Mine, B Working","Iron",NA,NA,"6","9","1",0,"25","32","82",2012-03-05,"High","6","C","5",0,0,0,1,"0",2012,3,5
"Jackson Mine, B Working",NA,NA,NA,NA,NA,NA,NA,"7","31.7",NA,2018-03-14,NA,"2",NA,"0",NA,0,0,2,"0",2018,3,14
"Jackson Mine, Tram Tunnel","Iron",NA,"330","10","10","1",0,"25","28.4-35.6","70.5-83.6",2012-03-05,"High","58","C","18",18,14,4,38,"2",2012,3,5
"Jackson Mine, Tram Tunnel",NA,NA,NA,NA,NA,NA,NA,"7","32.299999999999997",NA,2018-03-14,NA,"22",NA,"6",6,6,0,16,"0",2018,3,14
"Jackson Mine, Tram Tunnel Exit","Iron","120","150","7","10","1",0,"23","32","100",2012-03-05,"High","6","C","6",0,NA,NA,0,"0",2012,3,5
"Jackson Mine, Tram Tunnel Exit",NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,2018-03-14,NA,"0",NA,"0",NA,0,0,0,"0",2018,3,14
"Jones' Adit","Iron","705","30","1.5","5","1",0,NA,NA,NA,2007-12-30,"Medium","260","C","257",0,NA,NA,0,"3",2007,12,30
"Jones' Adit",NA,NA,NA,NA,NA,NA,NA,"< 0","45","100",2009-01-25,NA,"442","C","438",NA,NA,NA,0,"4",2009,1,25
"Jones' Adit",NA,NA,NA,NA,NA,NA,NA,"24","48.2-49.1","91-93",2011-03-05,NA,"415","C","411",20,20,0,0,"4",2011,3,5
"Jones' Adit",NA,NA,NA,NA,NA,NA,NA,"36.5","48.2","100",2012-02-23,NA,"297","C","293",53,53,0,0,"4",2012,2,23
"Jones' Adit",NA,NA,NA,NA,NA,NA,NA,NA,"48.2",NA,2013-03-15,NA,"317","c","314",0,NA,NA,0,"3",2013,3,15
"Jones' Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-02-22,NA,"437","c","435",435,423,12,0,"2",2014,2,22
"Jones' Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-02-22,NA,"730","c","728",725,622,103,0,"2",2015,2,22
"Jones' Adit",NA,NA,NA,NA,NA,NA,NA,"40","48",NA,2016-02-20,NA,"694","c","694",691,689,2,0,"0",2016,2,20
"Jones' Adit",NA,NA,NA,NA,NA,NA,NA,"34","47.3-48.2",NA,2017-02-11,NA,"2","c","2",2,2,0,0,"0",2017,2,11
"Jones' Adit",NA,NA,NA,"5","8",NA,NA,"44","46.4-48.2","93.8-100",2018-12-14,NA,"17",NA,"17",16,15,1,0,"0",2018,12,14
"Jones' Adit",NA,NA,NA,NA,NA,NA,NA,"30","46.4-48.2","87.3-93.5",2019-12-28,NA,"27",NA,"25",25,25,0,2,"0",2019,12,28
"Keel Ridge Mine","Iron","380","300","6","5","1",0,"18.2","39-51","98-100",1996-01-05,"Low","246","C","242",71,65,6,2,"2",1996,1,5
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-03-31,NA,NA,NA,NA,NA,NA,NA,0,"3",1998,3,31
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,"48",NA,2004-12-29,NA,"394","C","393",0,NA,NA,0,"1",2004,12,29
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,"55-60","45-46",NA,2007-03-24,NA,"268","C","267",0,NA,NA,0,"1",2007,3,24
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009-03-21,NA,"206","C/E","203",NA,NA,NA,0,"3",2009,3,21
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009-11-14,NA,"280","C","275",0,NA,NA,0,"5",2009,11,14
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-27,NA,"294","C","290",0,NA,NA,0,"4",2010,3,27
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,"48.2","91",2010-11-06,NA,"324","C","324",0,NA,NA,0,"0",2010,11,6
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-03-26,NA,"262","C","262",0,NA,NA,0,"0",2011,3,26
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,"46.9-48.2","93.6-100",2013-03-15,NA,"228","C","222",0,194,8,0,"6",2013,3,15
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-02-24,NA,"304","c","300",254,244,10,0,"4",2014,2,24
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-02-22,NA,"590","c","587",532,525,7,0,"3",2015,2,22
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,"40","46-47",NA,2016-02-20,NA,"225","c","221",199,198,1,0,"4",2016,2,20
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,"34","45.5-48.2",NA,2017-02-11,NA,"46","c","45",43,43,0,1,"0",2017,2,11
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-12-01,NA,"93",NA,NA,NA,88,1,0,"4",2017,12,1
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-14,NA,"109",NA,"103",103,103,0,0,"6",2019,1,14
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,12,28
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-03,NA,"107",NA,"107",107,107,0,0,"0",2021,3,3
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-04-12,NA,"35",NA,"30",0,0,0,0,"5",2023,4,12
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,"5.2-7.3",NA,2024-04-12,NA,"20","c","18",3,3,0,0,"2",2024,4,12
"Keel Ridge New Adit","iron","30","30","4","10","1",0,"22","33",NA,2013-11-28,"High","0","c","0",NA,NA,NA,0,"0",2013,11,28
"Keel Ridge Shaft","iron","492","NA","7","7","1",2,"22","51.4",NA,2013-11-28,"low","794","c","784",784,760,24,6,"4",2013,11,28
"Keel Ridge Shaft",NA,NA,NA,NA,NA,NA,NA,NA,"32-44",NA,2016-01-17,NA,"602","c","593",587,580,7,6,"3",2016,1,17
"Keel Ridge Shaft",NA,NA,NA,NA,NA,NA,NA,NA,"41",NA,2017-02-10,NA,"60","c","54",54,53,1,1,"2",2017,2,10
"Keel Ridge Shaft",NA,NA,NA,NA,NA,NA,NA,"44","46.4-50","93.9-96.7",2018-12-14,NA,"114",NA,"112",112,112,0,2,"0",2018,12,14
"Keel Ridge Shaft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-04-12,NA,"150",NA,"150",25,25,0,0,"0",2023,4,12
"Keel Ridge Shaft",NA,NA,NA,NA,NA,NA,NA,NA,"1.5-6.0",NA,2024-04-12,NA,"371","c","370",320,320,0,1,"0",2024,4,12
"Knowlton Mine","Copper","400+",NA,NA,NA,NA,0,"18","45-46","93",1996-12-18,"Low","0",NA,NA,NA,NA,NA,NA,NA,1996,12,18
"Kochab Cave","Limestone","528",NA,NA,NA,"0",0,NA,NA,NA,1980-04-05,NA,"3","C","3",1,1,0,0,"0",1980,4,5
"Kochab Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981-02-19,NA,"1","C","1",1,0,1,0,"0",1981,2,19
"Kochab Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-20,NA,"0","c",NA,NA,NA,NA,NA,NA,2010,3,20
"Lafayette East Adit","Copper","25","360","6","4","1",0,NA,NA,NA,2005-11-04,"Low","0","C",NA,NA,NA,NA,NA,NA,2005,11,4
"Lafayette East Adit",NA,NA,NA,NA,NA,NA,NA,"55.4","52.7","80",2011-11-12,NA,"0","C","0",NA,NA,NA,0,"0",2011,11,12
"Lafayette East Adit",NA,NA,NA,NA,NA,NA,NA,"42.8","43.7",NA,2015-11-14,NA,"0","c","0",NA,NA,NA,0,"0",2015,11,14
"Lafayette East Adit",NA,NA,NA,NA,NA,NA,NA,"33.799999999999997","39.200000000000003",NA,2017-11-17,NA,"0","c","0",NA,NA,NA,0,"0",2017,11,17
"Lafayette East Shaft","Copper","420","330","2","5","1",0,NA,"44.7-46.4",NA,2005-11-06,"Low","2261","C","2259",31,29,2,1,"1",2005,11,6
"Lafayette East Shaft",NA,NA,NA,NA,NA,NA,NA,"55.4","46.4-48.2","100",2011-11-12,NA,"2804","C","2804",NA,NA,NA,0,"0",2011,11,12
"Lafayette East Shaft",NA,NA,NA,NA,NA,NA,NA,"42.8","46.4-48.2",NA,2015-11-14,NA,"2582","c","2582",1257,1240,17,0,"0",2015,11,14
"Lafayette East Shaft",NA,NA,NA,NA,NA,NA,NA,"33.799999999999997","41.9-48.2",NA,2017-11-17,NA,"443","c","442",440,436,4,1,"0",2017,11,17
"Lafayette East Shaft",NA,NA,NA,NA,NA,NA,NA,NA,"7.5-7.7",NA,2023-11-20,NA,"1106","c","1103",1103,1103,NA,2,"1",2023,11,20
"Lafayette West Adit","Copper","75","315","2.5","4","1",0,NA,"48",NA,2005-11-04,"Low","7","C","7",7,4,3,0,"0",2005,11,4
"Lafayette West Adit",NA,NA,NA,NA,NA,NA,NA,"55.4","49.1","100",2011-11-12,NA,"4","C","4",4,1,3,0,"0",2011,11,12
"Lafayette West Adit",NA,NA,NA,NA,NA,NA,NA,"42.8","43.7",NA,2015-11-14,NA,"18","c","18",18,4,14,0,"0",2015,11,14
"Lafayette West Adit",NA,NA,NA,NA,NA,NA,NA,"33.799999999999997","45.5",NA,2017-11-17,NA,"6","c","6",6,3,3,0,"0",2017,11,17
"Lafayette West Shaft","Copper","95","345","2","5","1",0,NA,"45.3",NA,2005-11-06,"Low","35","C","34",NA,NA,NA,1,"0",2005,11,6
"Lafayette West Shaft",NA,NA,NA,NA,NA,NA,NA,"55.4","50",NA,2011-11-12,NA,"52","C","52",NA,NA,NA,0,"0",2011,11,12
"Lafayette West Shaft",NA,NA,NA,NA,NA,NA,NA,"42.8","48.5",NA,2015-11-14,NA,"55","c","55",0,NA,NA,0,"0",2015,11,14
"Lafayette West Shaft",NA,NA,NA,NA,NA,NA,NA,"33.799999999999997",NA,NA,2017-11-17,NA,"10","c","10",10,10,NA,NA,NA,2017,11,17
"Lafayette West Shaft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,11,20
"Lake Shaft","Copper","75","NA",NA,NA,"0",1,NA,NA,NA,2012-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,3,29
"Mackinac Bridge, North Pier","NA",NA,NA,NA,NA,NA,NA,NA,"<32",NA,1994-03-10,"Low","0","C","0",NA,NA,NA,0,"0",1994,3,10
"Mackinac Bridge, South Pier","NA",NA,NA,NA,NA,NA,NA,NA,"<33",NA,1994-03-10,"Low","0","C","0",NA,NA,NA,0,"0",1994,3,10
"Mass Mine (C Shaft)","Copper","ca. 2,500",NA,NA,NA,NA,0,NA,"44.2-46","90-100",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mass  C Adit","Copper","158","50","5","7","1",0,"21.6","37",NA,2005-12-18,"Low","178","C","172",26,24,2,6,"0",2005,12,18
"Mass  C Adit",NA,NA,NA,NA,NA,NA,NA,"32","41.9","100",2011-12-21,NA,"115","C","109",22,19,3,6,"0",2011,12,21
"Mass  C Adit",NA,NA,NA,NA,NA,NA,NA,"17","40.1",NA,2013-03-04,NA,"122","c","113",113,96,17,0,"0",2013,3,4
"Mass  C Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-11-29,NA,"178","c","160",147,129,18,18,"0",2014,11,29
"Mass  C Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-13,NA,"11",NA,"11",11,10,1,0,"0",2020,11,13
"Mass  C Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-04,NA,"12",NA,"11",11,10,1,1,"0",2021,3,4
"Mass  C Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-11-10,NA,"9",NA,"9",9,8,1,0,"0",2021,11,10
"Mass  C Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-06,NA,"7",NA,"6",6,6,0,1,"0",2022,3,6
"Mass  C Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-11,NA,"9",NA,"8",8,8,0,1,"0",2022,11,11
"Mass  C Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-01,NA,"13",NA,"7",7,7,0,6,"0",2023,3,1
"Mastodon #2 Shaft","Iron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Closed","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mead Adit of Carp Lake Mine","Copper","2725","180","2","2","1",0,NA,"48-50","92-100",1996-02-27,"Low","13540","C","13539",65,64,1,1,"0",1996,2,27
"Mead Adit of Carp Lake Mine",NA,NA,NA,"2.5","4",NA,NA,NA,"45.6",NA,1998-03-30,NA,"14048","C","14046",0,NA,NA,0,"2",1998,3,30
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-12-15,NA,"16739","C","16735",0,NA,NA,0,"4",2000,12,15
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,"42.2-46.2",NA,2004-12-31,NA,"13346","C","13342",0,NA,NA,0,"4",2004,12,31
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,"48",NA,2009-03-20,NA,"17511","C","17508",0,NA,NA,0,"3",2009,3,20
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,"46.4-47.3","91",2011-03-03,NA,"19265","C","19263",0,NA,NA,0,"2",2011,3,3
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,"46.9",NA,2013-03-05,NA,"17702","C","17700",0,NA,NA,0,"2",2013,3,5
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-02-25,NA,"15973","c","15971",1048,1024,24,0,"2",2015,2,25
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,"23","46.4-47.3",NA,2017-02-15,NA,"92","c","92",91,91,0,0,"0",2017,2,15
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,"46.7-48.5",NA,2019-02-27,NA,"208",NA,"208",207,207,0,0,"0",2019,2,27
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-09,NA,"316",NA,"312",315,312,3,0,"1",2019,12,9
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-11-13,NA,"513",NA,"513",513,510,3,0,"0",2021,11,13
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-08,NA,"486",NA,"486",486,484,2,0,"0",2022,3,8
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-04-11,NA,"546","c","546",320,320,0,0,"0",2023,4,11
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-09,NA,"993","c","992",105,104,1,1,"0",2023,11,9
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,"4.4-7.2",NA,2024-04-22,NA,"700","c","700",129,129,0,0,"0",2024,4,22
"Merchant Mine","Copper","641","170","2","2","2",0,NA,"30–44.7","95",2009-03-06,"Low","213","C","208",NA,NA,NA,3,"2",2009,3,6
"Merchant Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-03-25,NA,"224","C","217",0,NA,NA,1,"6",2011,3,25
"Merchant Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-12-01,NA,"225","C","214",214,206,8,5,"6",2012,12,1
"Merchant Mine",NA,NA,NA,NA,NA,NA,NA,"32","41.9",NA,2017-02-12,NA,"53","C","48",46,45,1,5,"0",2017,2,12
"Merchant Mine",NA,NA,NA,NA,NA,NA,NA,"44","37.4-45.5","84.3-93.4",2018-12-15,NA,"18",NA,"12",11,11,0,9,"0",2018,12,15
"Merchant Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-14,NA,"45",NA,"38",38,38,0,7,"0",2022,4,14
"Merchant Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-04-14,NA,"40",NA,"33",33,33,0,7,"0",2023,4,14
"Merchant's Adit North","Copper","105","270","2.25","1.5","1",NA,NA,"46.4","85",1998-12-15,"High","11","C","5",5,0,5,6,"0",1998,12,15
