"site","ore","passage_length","azimuth","entrance_height","entrance_width","levels","shafts","external_ta","internal_ta","internal_rh","date","disturbance","total_bats","estimate_or_count","myotis_count","myotis_identified","mylu","myse","epsu","pips","year","month","day"
"Aztec New Opening",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.1",2024-04-30,NA,"0",NA,NA,NA,NA,NA,NA,NA,2024,4,30
"Aztec Upper Drift","Copper","50","95","5","7","1",0,NA,"32","88",1998-03-10,"Medium","0","C","0",0,NA,NA,0,"0",1998,3,10
"Aztec Upper Drift",NA,NA,NA,NA,NA,NA,NA,"25.7","35.6","91.4",2012-02-27,NA,"0","C","0",0,NA,NA,0,"0",2012,2,27
"Aztec Upper Drift",NA,NA,NA,NA,NA,NA,NA,NA,"28.4",NA,2017-12-29,NA,"0",NA,NA,NA,0,0,0,"0",2017,12,29
"Aztec Upper Drift",NA,NA,NA,NA,NA,NA,NA,NA,"3.7",NA,2024-04-30,NA,"0",NA,NA,NA,NA,NA,NA,NA,2024,4,30
"B-95 (cave)","Dolomite","30",NA,NA,NA,NA,0,NA,NA,NA,2017-12-21,"Low","0",NA,"0",0,0,0,0,"0",2017,12,21
"B-95 (cave)",NA,NA,NA,NA,NA,NA,NA,"29",NA,NA,2018-11-17,NA,"0",NA,"0",0,0,0,0,"0",2018,11,17
"Bad Breath Cave","Limestone","?",NA,NA,NA,"1",0,NA,NA,NA,2010-03-20,"Low","0","E","0",0,NA,NA,0,"0",2010,3,20
"Bate's Mine","Iron","75-100","NA",NA,NA,"0",1,NA,NA,NA,2005-03-03,"Low","0","C","0",0,NA,NA,0,"0",2005,3,3
"Bear Cave","Tufa","200",NA,"1","2","1",0,NA,"48-50",NA,2005-12-20,"Low","52","C","19",0,NA,NA,1,"32",2005,12,20
"Bear Cave",NA,NA,NA,NA,NA,NA,NA,"30-32","44-49","100",2013-03-18,NA,"29","C","4",2,1,1,0,"25",2013,3,18
"Bear Cave",NA,NA,NA,NA,NA,NA,NA,NA,"37.4-48.2",NA,2014-02-17,NA,"23","C","5",2,0,2,0,"18",2014,2,17
"Bear Cave",NA,NA,NA,NA,NA,NA,NA,NA,"45.5-46.7",NA,2015-03-20,NA,"20","c","1",1,0,1,0,"19",2015,3,20
"Bear Cave",NA,NA,NA,NA,NA,NA,NA,"28","44.6-50",NA,2017-03-03,NA,"1","c","0",0,0,0,0,"1",2017,3,3
"Bear Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-17,NA,"0",NA,"0",0,0,0,0,"0",2019,2,17
"Beaten's Cave","Copper","215","60","4","3.5","1",0,"23.6","34.7-43.3","60",1998-01-15,"Medium","77","C","68",24,17,7,9,"0",1998,1,15
"Beaten's Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-01,NA,"112","C","98",0,NA,NA,13,"1",2010,3,1
"Beaten's Cave",NA,NA,NA,NA,NA,NA,NA,"23.9","46.4","80.8",2012-02-25,NA,"120","C","103",26,11,15,16,"1",2012,2,25
"Beaten's Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-02-12,NA,"114","c","101",100,82,18,10,"3",2014,2,12
"Beaten's Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-13,NA,"10",NA,"8",8,7,1,2,"0",2020,11,13
