"site","ore","passage_length","azimuth","entrance_height","entrance_width","levels","shafts","external_ta","internal_ta","internal_rh","month","day","year","disturbance","total_bats","estimate_or_count","myotis_count","myotis_identified","mylu","myse","epsu","pips"
"Child's Adit",NA,NA,NA,NA,NA,NA,NA,"3","44.6","93-97","43096",NA,NA,NA,"8","c","8",8,8,0,0,"0"
"Child's Adit",NA,NA,NA,NA,NA,NA,NA,"23","43.7","93.1","43831",NA,NA,NA,"17",NA,"17",17,17,0,0,"0"
"Child's Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45338",NA,NA,NA,"22","c","22",22,22,0,0,"0"
"Colby Mine","Iron","0","NA",NA,NA,"0",0,NA,NA,NA,"38774",NA,NA,"Low","0","C",NA,NA,NA,NA,0,"0"
"Collin's Adit","Copper","35","80","5","6","1",0,"35.799999999999997","37.4","83","36146",NA,NA,"Low","1","C","1",0,NA,NA,0,"0"
"Collin's Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41993",NA,NA,NA,"0","c","0",NA,NA,NA,0,"0"
"Collin's Adit",NA,NA,NA,NA,NA,NA,NA,"25",NA,NA,"43152",NA,NA,NA,"0",NA,"0",NA,NA,NA,0,"0"
"Copper Falls Mine","Copper",">11,000","NA","2","2","9",1,"38.9","42.8-46","95-100","36233",NA,NA,"Low","11483","C","11483",53,41,12,0,"0"
"Copper Falls Mine",NA,NA,NA,NA,NA,NA,NA,NA,"44.6-45.5","93-100","43154",NA,NA,NA,"27",NA,"0",27,27,0,0,"0"
"Copper Peak Adit","Copper","39","335","5","6","1",0,NA,"37.9",NA,"39024",NA,NA,"High","0","C","0",0,NA,NA,0,"0"
"Copper Peak Adit",NA,NA,NA,NA,NA,NA,NA,"30.2","37.4","94","40897",NA,NA,NA,"1","C","1",1,0,1,0,"0"
"County Line Adit","Copper","8","205","5","5","1",0,NA,"<32",NA,"35416",NA,NA,"High","0","C","0",NA,NA,NA,0,"0"
"County Line Adit",NA,NA,NA,NA,NA,NA,NA,"25.7","31.1",NA,"40899",NA,NA,NA,"0","C","0",0,NA,NA,0,"0"
"Cushman Adit","Copper",NA,NA,"2","1.5","1",0,NA,"49-50","95-100","41216",NA,NA,"Low","825","C","820",57,56,1,0,"5"
"Cushman Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42061",NA,NA,NA,"713","c","708",708,676,32,0,"5"
"Cushman Adit",NA,NA,NA,NA,NA,NA,NA,"23","48.2",NA,"42781",NA,NA,NA,"20","c","20",20,20,0,0,"0"
"Cushman Adit",NA,NA,NA,NA,NA,NA,NA,"17","47.3","93.7","43818",NA,NA,NA,"28",NA,"28",28,28,0,0,"0"
"Cyclops A","Iron","65",NA,"50","18","1",0,"20","26.6-28.4",NA,"41691",NA,NA,"High","0","c","0",NA,NA,NA,0,"0"
"Cyclops B","Iron","35",NA,"3","5","1",0,"20","23",NA,"41691",NA,NA,"High","0","c","0",NA,NA,NA,0,"0"
"Cyclops C","Iron","35",NA,"50","15","1",0,"20","23.9",NA,"41691",NA,NA,"High","0","c","0",NA,NA,NA,0,"0"
"Delaware Mine","Copper","2600","0","5","1","1",1,NA,"43.5-46.9","92-100","35103",NA,NA,"Low","1702","C","1702",NA,NA,NA,0,"0"
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,"40","43.7-47.3",NA,"40974",NA,NA,NA,"2360","C","2352",407,325,82,1,"7"
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41346",NA,NA,NA,"2666","c","2664",NA,NA,NA,0,"2"
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41694",NA,NA,NA,"2591","c","2587",718,622,96,1,"3"
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42058",NA,NA,NA,"3587","c","3583",545,524,21,0,"4"
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,"20","43-45",NA,"42421",NA,NA,NA,"842","c","841",490,488,2,0,"1"
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,"53",NA,NA,"42784",NA,NA,NA,"862","c","862",849,848,1,0,"0"
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,"27","39.2-45.5",NA,"43152",NA,NA,NA,"700",NA,"700",458,457,1,0,"0"
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,NA,"33-42.8","84.9-91.2","43524",NA,NA,NA,"1297",NA,"1297",1228,1227,1,0,"0"
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,"32","44.8-45.5","90.1-93.4","43832",NA,NA,NA,"1465",NA,"1465",357,357,0,0,"0"
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44285",NA,NA,NA,"1491",NA,"1491",296,296,0,0,"0"
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44636",NA,NA,NA,"2322",NA,"2322",199,199,0,0,NA
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45007",NA,NA,NA,"1382",NA,"1382",157,157,0,0,"0"
"Derby Adit","Copper","80","80","4","4","1",0,NA,"47","93","12","18",NA,"Low","230","C","216",25,22,3,14,"0"
"Derby Adit",NA,NA,NA,NA,NA,NA,NA,"24.8","45.5","80","40508",NA,NA,NA,"243","C","234",0,NA,NA,8,"1"
"Derby Adit",NA,NA,NA,NA,NA,NA,NA,"28","41-43","90-96","41277",NA,NA,NA,"158","C","146",146,130,16,11,"1"
"Derby Adit",NA,NA,NA,NA,NA,NA,NA,NA,"41-43.7",NA,"41992",NA,NA,NA,"242","c","235",235,210,14,19,"0"
"Derby Adit",NA,NA,NA,NA,NA,NA,NA,NA,"46.4-47.3",NA,"42334",NA,NA,NA,"233","c","228",227,208,19,5,"0"
"Derby Adit",NA,NA,NA,NA,NA,NA,NA,NA,"45.5-47.3",NA,"42693",NA,NA,NA,"133","c","130",130,126,4,3,"0"
"Derby Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43069",NA,NA,NA,"82",NA,NA,NA,NA,NA,9,"0"
"Derby Adit",NA,NA,NA,NA,NA,NA,NA,"27","48",NA,"43784",NA,NA,NA,"38",NA,"32",32,32,0,6,"0"
"Derby Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44664",NA,NA,NA,"45",NA,"44",44,44,0,1,"0"
"Derby Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45032",NA,NA,NA,"23",NA,"23",23,23,0,0,"0"
"Derby Shaft","Copper","30","330","8","10","0",1,NA,NA,NA,"40417",NA,NA,"Low","0","E","0",NA,NA,NA,0,"0"
"Detroit Gold + Silver Co. Adit","Gold","30","330",NA,"6","1",0,NA,"41.7",NA,"43794",NA,NA,"Low","0",NA,NA,NA,NA,NA,NA,NA
"Detroit Salt Mine","Halite",">20,000",NA,NA,NA,"1",2,NA,"62","66","42833",NA,NA,"High","0","c","0",NA,NA,NA,0,"0"
"Devil's Kitchen","Limestone","15",NA,NA,NA,"1",0,NA,NA,NA,"40313",NA,NA,"High","0","C","0",0,NA,NA,0,"0"
"Devon Mine","Copper","0",NA,"NA","NA","1",0,NA,NA,NA,"38444",NA,NA,"Low","0",NA,NA,NA,NA,NA,NA,NA
"Disgusting Cave","Limestone","142",NA,NA,NA,"1",0,NA,NA,NA,"40257",NA,NA,"Low","0",NA,NA,NA,NA,NA,NA,NA
"Douglas Houghton Adit #1","Copper","128",NA,"4","4",NA,NA,NA,NA,NA,"29526",NA,NA,"High","1","C","1",1,1,0,0,"0"
"Douglas Houghton Adit #1",NA,NA,NA,NA,NA,NA,NA,"20.5","35-42","99-100","35080",NA,NA,NA,"4","C","3",3,1,2,1,"0"
"Douglas Houghton Adit #1",NA,NA,NA,NA,NA,NA,NA,"22.1","41.9",NA,"42365",NA,NA,NA,"2","c","1",1,0,1,1,"0"
"Douglas Houghton Adit #1",NA,NA,NA,NA,NA,NA,NA,"46F","3.0-5.1",NA,"45349",NA,NA,NA,"2","c","0",0,0,0,2,"0"
"Douglas Houghton Adit #2","Copper","50",NA,NA,NA,"1",0,NA,NA,NA,"29526",NA,NA,"Closed","0","C","0",NA,NA,NA,0,"0"
"Eagle Point Cave","Limestone","11",NA,"15","7","1",0,NA,NA,NA,"40314",NA,NA,"High","0","C","0",0,NA,NA,0,"0"
"Eagle River Adit  1 (Lake Superior & Phoenix)","Copper","73","270","2","2","1",0,"26.2","40.6","100","35427",NA,NA,"Medium","37","C","37",37,25,12,0,"0"
"Eagle River Adit  1 (Lake Superior & Phoenix)",NA,NA,NA,NA,NA,NA,NA,">60",NA,NA,"38839",NA,NA,NA,"36","C","36",0,NA,NA,0,"0"
"Eagle River Adit  1 (Lake Superior & Phoenix)",NA,NA,NA,NA,NA,NA,NA,"26.6","43.7","91","40901",NA,NA,NA,"31","C","31",31,25,6,0,"0"
